1896556,1129
1496065,1131
1452362,1133
1655929,1136
1743173,1138
1839460,1140
1878591,1143
1745968,1145
1681550,1147
1509422,1149
1118235,1152
1684326,1154
1602550,1156
1300501,1158
1354651,1201
1338819,1203
1439974,1205
1666452,1208
1879069,1210
1769168,1212
1611653,1214
1418456,1217
1757458,1219
1876662,1221
1815954,1224
1880672,1226
1855743,1228
1689190,1230
1647907,1233
1744212,1235
1545828,1237
1290332,1239
1441164,1242
1401176,1244
1476317,1246
1781998,1249
1522534,1251
1569215,1253
1730382,1255
1669936,1258
1833851,1300
1442641,1302
1484616,1305
1478779,1307
1776424,1309
1476610,1311
862420,1314
1803507,1316
813274,1318
1355697,1320
1147451,1323
1420662,1325
1211640,1327
1569740,1330
1528180,1332
1556277,1334
1484792,1336
1806948,1339
1335099,1341
1360609,1343
1875589,1346
1117571,1348
1477539,1350
1355361,1352
1800262,1355
1553168,1357
1771886,1359
1055135,1401
1708015,1404
1823685,1406
1238572,1408
1699648,1411
1884529,1413
1466092,1415
1651903,1417
1864396,1420
1775064,1422
1533403,1424
1283652,1427
